tool_name,scenario_id,mapping,change_type,execution_status,status_detail,expected_file_count,actual_file_count,missing_files,extra_files,expected_line_count,actual_line_count,true_positives,false_positives,false_negatives,precision,recall,f1_score,sequence_agreement,exact_oracle_match,syntactic_valid,syntax_validator,syntax_detail,compiles,scenario_tests_pass,complete_textual_resolution
FSTMerge,scenario_30,N:N,structural,completed_clean,process completed with a readable output tree,2,3,,UserContact.java,53,123,36,87,17,0.2926829268292683,0.6792452830188679,0.4090909090909091,0.2845528455284553,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,parser diagnostics: compiler.err.class.public.should.be.in.file,,,False
FSTMerge,scenario_31,N:N,structural,completed_clean,process completed with a readable output tree,3,6,,Custumer.java;Order.java;Person.java,128,327,107,220,21,0.327217125382263,0.8359375,0.4703296703296704,0.3180428134556575,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,parser diagnostics: compiler.err.class.public.should.be.in.file,,,False
FSTMerge,scenario_32,N:N,structural,completed_clean,process completed with a readable output tree,3,5,,Program.java;Student.java,78,246,69,177,9,0.2804878048780488,0.8846153846153846,0.42592592592592593,0.2682926829268293,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
FSTMerge,scenario_33,N:N,structural,completed_clean,process completed with a readable output tree,2,5,,Account.java;UserPreferences.java;UserProfile.java,61,245,48,197,13,0.19591836734693877,0.7868852459016393,0.3137254901960784,0.17551020408163265,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
FSTMerge,scenario_34,1:1,behavioral,completed_clean,process completed with a readable output tree,1,1,,,19,18,10,8,9,0.5555555555555556,0.5263157894736842,0.5405405405405405,0.47368421052631576,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
FSTMerge,scenario_35,1:1,behavioral,completed_clean,process completed with a readable output tree,1,1,,,11,18,7,11,4,0.3888888888888889,0.6363636363636364,0.4827586206896552,0.3888888888888889,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
FSTMerge,scenario_36,N:N,behavioral,completed_clean,process completed with a readable output tree,2,2,,,61,89,52,37,9,0.5842696629213483,0.8524590163934426,0.6933333333333332,0.4606741573033708,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
FSTMerge,scenario_37,1:N,behavioral,completed_clean,process completed with a readable output tree,1,1,,,20,23,6,17,14,0.2608695652173913,0.3,0.27906976744186046,0.2608695652173913,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
FSTMerge,scenario_38,N:N,behavioral,completed_clean,process completed with a readable output tree,1,1,,,174,160,100,60,74,0.625,0.5747126436781609,0.5988023952095808,0.47126436781609193,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
FSTMerge,scenario_39,N:N,behavioral,completed_clean,process completed with a readable output tree,6,6,,,441,554,359,195,82,0.648014440433213,0.8140589569160998,0.721608040201005,0.5234657039711191,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
IntelliMerge,scenario_1,1:1,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
